"Press Release Title","Study suggests economic insecurity can make you obese","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Obesity under affluence varies by welfare regimes: The effect of fast food,
insecurity, and inequality","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","2.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","5.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","5.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","15-11-001","Available for Coding?","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","1.0","",""
"","","Date Published","","38924.0","39088.0","","","","","","","","","","","","","","","","","","","","","","","","","","39089.0","","","","39088.0","",""
"","","Word Count - Title","","15.0","8.0","","","","","","","","","","","","","","","","","","","","","","","","","","8.0","","","","6.0","",""
"","","Word Count - Body","7000.0","110.0","650.0","","","","","","","","","","","","","","","","","","","","","","","","","","420.0","","","","460.0","",""
"","","Sentence Count","","","28.0","","","","","","","","","","","","","","","","","","","","","","","","","","20.0","","","","15.0","",""
"","","Who is it written by?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.0","","","","3.0","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","1.0","",""
"","Title","IV(s) in title","","welfare regimes, fast food, insecurity, inequality","economic insecurity","","","","","","","","","","","","","","","","","","","","","","","","","","money insecurity","","","","economic insecurity","",""
"","","DV(s) in title","","obesity","obesity","","","","","","","","","","","","","","","","","","","","","","","","","","obesity","","","","obesity","",""
"","","Who is it About?","","-9.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","Are there quotes in the title?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
"","","Statement of Cause","","6.0","5.0","","","","","","","","","","","","","","","","","","","","","","","","","","3.0","","","","6.0","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","economic insecurity","economic insecurity","","","","","","","","","","","","","","","","","","","","","","","","","","money stresses","","","","economic insecurity","",""
"","","IV Code","","24.0","24.0","","","","","","","","","","","","","","","","","","","","","","","","","","24.0","","","","24.0","",""
"","","Is this IV in the first 2 sentences?","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","1.0","",""
"","","Number of Sentences the IV is mentioned on","","","11.0","","","","","","","","","","","","","","","","","","","","","","","","","","5.0","","","","9.0","",""
