"Press Release Title","Laughter really is the best medicine (for leg ulcers)","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Use of weekly, low dose, high frequency ultrasound for hard
to heal venous leg ulcers: the VenUS III randomised
controlled trial
","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","3.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","5.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","7.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","09-11-003","Available for Coding?","1.0","1.0","1.0","1.0","","1.0","1.0","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","",""
"","","Date Published","","39148.0","39148.0","39150.0","","39150.0","39150.0","","","","","39150.0","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Title","","21.0","9.0","5.0","","5.0","4.0","","","","","3.0","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Body","6000.0","510.0","530.0","420.0","","60.0","120.0","","","","","70.0","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sentence Count","","","25.0","26.0","","4.0","8.0","","","","","5.0","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it written by?","","","","4.0","","4.0","4.0","","","","","4.0","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","-9.0","","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","",""
"","Title","IV(s) in title","","Use of weekly, low dose, high frequency ultrasound ","Laughter","Laughter","","Laughter","Laughter","","","","","Laughter","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV(s) in title","","hard
to heal venous leg ulcers
","Leg Ulcer Condition","Cure","","Ulcers","Health","","","","","Pain","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it About?","","2.0","2.0","2.0","","1.0","2.0","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","0.0","","0.0","0.0","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","","Statement of Cause","","0.0","6.0","0.0","","0.0","6.0","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Low dose, high frequency ultrasound
administered weekly for 12 weeks during dressing
changes in addition to standard care 
","Laughter","Laughter","","Laughter","Laughter","","","","","Laughter","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","","10.0","24.0","24.0","","24.0","24.0","","","","","24.0","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","1.0","","1.0","1.0","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","4.0","10.0","","4.0","5.0","","","","","4.0","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","0.0","0.0","","0.0","0.0","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","","..laughter.. ..belly laugh.. ..hearty chuckle.. ..laughing..","..laughter.. ..it.. ..belly laugh.. ..hearty chuckle.. ..laughing.. ..mirthful laughter..","","..laugh.. ..laughter.. ..chuckling.. ..laughing..","..laugh.. ..laughter.. ..hearty belly laugh.. ..belly laugh..","","","","","..laugh.. ..laughter.. ..hearty belly laugh.. ..a good chuckle..","","","","","","","","","","","","","","","","","","","","","","",""
"","","is there ambiguity?","","0.0","2.0","2.0","","2.0","2.0","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","",""
"","","if yes describe","","-9.0","The press release suggests that laughter was measured in the article as the primary IV.  However, it was not measured at all in the study.  ","This report suggests that laughter was measured in the article as the primary IV.  However, it was not measured at all in the study.  ","","This report suggests that laughter was measured in the article as the primary IV.  However, it was not measured at all in the study.  ","This report suggests that laughter was measured in the article as the primary IV.  However, it was not measured at all in the study.  ","","","","","This report suggests that laughter was measured in the article as the primary IV.  However, it was not measured at all in the study.  ","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the same IV being coded here as the abstract?","","","4.0","4.0","","4.0","4.0","","","","","4.0","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note differences here","","","The press release suggests that laughter was measured in the article as the primary IV.  However, it was not measured at all in the study.  ","This report suggests that laughter was measured in the article as the primary IV.  However, it was not measured at all in the study.  ","","This report suggests that laughter was measured in the article as the primary IV.  However, it was not measured at all in the study.  ","This report suggests that laughter was measured in the article as the primary IV.  However, it was not measured at all in the study.  ","","","","","This report suggests that laughter was measured in the article as the primary IV.  However, it was not measured at all in the study.  ","","","","","","","","","","","","","","","","","","","","","","",""
"","","Actual IV for this","the effect of standard
ulcer care alone with standard care plus ultrasound
treatment
","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","10.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","2.0","2.0","","2.0","2.0","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","7.0","6.0","","1.0","3.0","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","",""
""," ","Words to First Mention","","","22.0","35.0","","10.0","1.0","","","","","25.0","","","","","","","","","","","","","","","","","","","","","","",""
