"Press Release Title","Drug side effect linked with increased health risks for over 65s","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Anticholinergic Medication Use and Cognitive Impairment in the
Older Population: The Medical Research Council Cognitive
Function and Ageing Study","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","3.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","7.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Techniques","6.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","COMPLETED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","6.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","03-11-020","Available for Coding?","1.0","1.0","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","","Date Published","","39256.0","39256.0","","","","","","","39256.0","","","","","","","","","","","","","","","","","","","","","","","","39256.0","",""
"","","Word Count - Title","","19.0","11.0","","","","","","","7.0","","","","","","","","","","","","","","","","","","","","","","","","8.0","",""
"","","Word Count - Body","3898.0","234.0","1022.0","","","","","","","410.0","","","","","","","","","","","","","","","","","","","","","","","","570.0","",""
"","","Sentence Count","","","34.0","","","","","","","17.0","","","","","","","","","","","","","","","","","","","","","","","","20.0","",""
"","","Who is it written by?","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","4.0","",""
"","","Journalist Code","","","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","Title","IV(s) in title","","Anticholinergic Medication Use","drug side effects","","","","","","","drug","","","","","","","","","","","","","","","","","","","","","","","","common drug","",""
"","","DV(s) in title","","cognitive impairment","health risks","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","death","",""
"","","Who is it About?","","1.0","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","","Are there quotes in the title?","","0.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Statement of Cause","","0.0","3.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","6.0","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","use of medications
with possible and definite anticholinergic activity","drugs with an anticholinergic effect ","","","","","","","medicines with anticholinergic activity ","","","","","","","","","","","","","","","","","","","","","","","","medicines which have an anticholinergic effect","",""
"","","IV Code","","9.0","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","","Number of Sentences the IV is mentioned on","","","15.0","","","","","","","8.0","","","","","","","","","","","","","","","","","","","","","","","","12.0","",""
"","","Words to First Mention","","","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","What terms were included in the count?","","","as above ACB","","","","","","","as above, drug","","","","","","","","","","","","","","","","","","","","","","","","as above, drug","",""
"","","is there ambiguity?","","0.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","if yes describe","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Note differences here","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Actual IV for this","possible or definite
anticholinergics determined according to the Anticholinergic
Cognitive Burden Scale","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
""," ","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","What terms were included in the count?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Caveats Mentioned?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","Main Conclusion DV","Main DV of Conclusions ","","cognition determined
using the Mini-Mental State Examination (MMSE)","risks of both cognitive impairment and death","","","","","","","mental impairment and death. ","","","","","","","","","","","","","","","","","","","","","","","","reduced brain function and early death","",""
"","","Code of Main DV","","11.0","11.0","","","","","","","11.0","","","","","","","","","","","","","","","","","","","","","","","","11.0","",""
"","","Is this DV in the first 2 sentences?","","","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","","Number of Sentences the DV is mentioned on","","","12.0","","","","","","","3.0","","","","","","","","","","","","","","","","","","","","","","","","7.0","",""
"","","Words to First Mention","","","0.0","","","","","","","19.0","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
