"Press Release Title","Scientists develop first ever drug to treat ‘Celtic Gene’ in Cystic Fibrosis sufferers","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","A CFTR Potentiator in Patients
with Cystic Fibrosis and the G551D Mutation","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","3.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Techniques","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","COMPLETE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","6.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","16-11-005","Available for Coding?","1.0","1.0","1.0","","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","1.0"
"","","Date Published","","39388.0","39252.0","","39253.0","39253.0","39253.0","","","","","","","","","","","","","","","","","","","","","","","39252.0","","","","","","39252.0"
"","","Word Count - Title","","12.0","13.0","","5.0","7.0","4.0","","","","","","","","","","","","","","","","","","","","","","","8.0","","","","","","3.0"
"","","Word Count - Body","3000.0","360.0","490.0","","140.0","140.0","160.0","","","","","","","","","","","","","","","","","","","","","","","390.0","","","","","","340.0"
"","","Sentence Count","","","17.0","","7.0","7.0","8.0","","","","","","","","","","","","","","","","","","","","","","","18.0","","","","","","13.0"
"","","Who is it written by?","","","","","4.0","3.0","3.0","","","","","","","","","","","","","","","","","","","","","","","4.0","","","","","","3.0"
"","","","","","","","-9.0","3.0","3.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","","3.0"
"","Title","IV(s) in title","","A CFTR Potentiator","drug to treat celtic gene","","new cf drug","new drug","cystic fibrosis aid","","","","","","","","","","","","","","","","","","","","","","","Cystic Fibrosis drug ","","","","","","-9.0"
"","","DV(s) in title","","-9.0","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","","Who is it About?","","1.0","1.0","","1.0","1.0","2.0","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","2.0"
"","","Are there quotes in the title?","","0.0","0.0","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","0.0"
"","","Statement of Cause","","0.0","0.0","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","0.0"
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Increasing the activity of defective cystic fibrosis transmembrane conductance regulator
(CFTR) protein/treatment","Drug treatment","","Drug treatment","new drug treatment","new drug treatment","","","","","","","","","","","","","","","","","","","","","","","Cystic Fibrosis drug ","","","","","","New drug treatment"
"","","IV Code","","9.0","9.0","","9.0","9.0","9.0","","","","","","","","","","","","","","","","","","","","","","","9.0","","","","","","9.0"
"","","Is this IV in the first 2 sentences?","","","1.0","","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","1.0"
"","","Number of Sentences the IV is mentioned on","","","12.0","","5.0","6.0","6.0","","","","","","","","","","","","","","","","","","","","","","","11.0","","","","","","9.0"
"","","Words to First Mention","","","0.0","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","1.0"
"","","What terms were included in the count?","","","as above, VX-770, ","","as above, VX-770 ","as above","as above, VX-770.","","","","","","","","","","","","","","","","","","","","","","","as above, treatment,VX-770 ","","","","","","as above, VX-770"
"","","is there ambiguity?","","0.0","0.0","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","0.0"
"","","if yes describe","","-9.0","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","","Is the same IV being coded here as the abstract?","","","0.0","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","0.0"
"","","Note differences here","","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","","Actual IV for this","Treatement with ivacaftor
(VX-770), a CFTR potentiator","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","0.0"
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
""," ","Words to First Mention","","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
