"Press Release Title","Over consumption of sugary drinks dulls taste buds","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Taste perception and implicit attitude toward sweet related to body mass
index and soft drink supplementation","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","2.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Techniques","5.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","02-11-023","Available for Coding?","1.0","1.0","1.0","1.0","","","1.0","","1.0","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Date Published","","39213.0","39241.0","39242.0","","","39242.0","","39242.0","","","","","","","","","","","","","","","","","","","","39241.0","","","","","",""
"","","Word Count - Title","","16.0","8.0","18.0","","","5.0","","7.0","","","","","","","","","","","","","","","","","","","","7.0","","","","","",""
"","","Word Count - Body","7000.0","180.0","670.0","470.0","","","660.0","","280.0","","","","","","","","","","","","","","","","","","","","540.0","","","","","",""
"","","Sentence Count","","","25.0","23.0","","","31.0","","14.0","","","","","","","","","","","","","","","","","","","","28.0","","","","","",""
"","","Who is it written by?","","","","4.0","","","2.0","","3.0","","","","","","","","","","","","","","","","","","","","4.0","","","","","",""
"","","Journalist code","","","","-9.0","","","-9.0","","3.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Title","IV(s) in title","","Body mass index and soft drink supplementation","Consumption of sugary drinks","Fruit juice","","","Fruit juices","","Sugary drinks","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","DV(s) in title","","Taste perception and implicit attitude toward sweet","Taste buds","Contains too much sugar","","","-9.0","","Taste buds","","","","","","","","","","","","","","","","","","","","Sugary drinks 'cycle'","","","","","",""
"","","Who is it About?","","2.0","2.0","2.0","","","-9.0","","2.0","","","","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","2.0","","","0.0","","0.0","","","","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","Statement of Cause","","2.0","6.0","6.0","","","0.0","","6.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Weight","Weight","Fruit juice","","","Drinking fruit juice","","Sugary drinks","","","","","","","","","","","","","","","","","","","","Sugary drinks","","","","","",""
"","","IV Code","","25.0","25.0","4.0","","","4.0","","4.0","","","","","","","","","","","","","","","","","","","","4.0","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","1.0","","","1.0","","1.0","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","8.0","11.0","","","21.0","","10.0","","","","","","","","","","","","","","","","","","","","11.0","","","","","",""
"","","Words to First Mention","","","17.0","0.0","","","0.0","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","What terms were included in the count?","","","Overweight, obese, obesity","Fruit juice, sugary drinks, drinks","","","Fruit juices, fruit juice, drinking two glasses, sweet foodstuffs, orange juice, juices, sugary drinks, drinks, ","","Sugary drinks, sugary beverages, sweet drinks, identical drinks, ","","","","","","","","","","","","","","","","","","","","Sugary drinks, soft drinks, fruit juice, soft drinks, drink, ","","","","","",""
"","","is there ambiguity?","","0.0","0.0","0.0","","","0.0","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","if yes describe","","-9.0","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","0.0","","","1.0","","1.0","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Note differences here","","","-9.0","-9.0","","","This is the second IV in the press release & the journal article","","This is the ssecond DV in the JA","","","","","","","","","","","","","","","","","","","","This is the second IV","","","","","",""
"","","Actual IV for this","Weight","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","25.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","1.0","","","2.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","-9.0","","","7.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
""," ","Words to First Mention","","","-9.0","-9.0","","","85.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","","","Sweet foodstuffs, ","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","-9.0","","","0.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","","","0.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Main Conclusion DV","Main DV of Conclusions ","","Taste perception","Sensitivity to sweetness (Taste perception)","Sugar levels","","","Addictive ","","Sensitivity to sweet tastes","","","","","","","","","","","","","","","","","","","","Sensitivity to soft drinks","","","","","",""
"","","Code of Main DV","","20.0","20.0","20.0","","","20.0","","20.0","","","","","","","","","","","","","","","","","","","","20.0","","","","","",""
"","","Is this DV in the first 2 sentences?","","","1.0","1.0","","","1.0","","1.0","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Number of Sentences the DV is mentioned on","","","11.0","4.0","","","2.0","","10.0","","","","","","","","","","","","","","","","","","","","5.0","","","","","",""
"","","Words to First Mention","","","17.0","0.0","","","1.0","","0.0","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","What terms were included in the count?","","","Sensitivity to sweetness, sensitivity to the taste sensation, rewarding, taste perceptions, taste satisfaction levels, perceive different tastes, change taste, less sweet in their perception, sensitivity, dulling of the sweetness","Too much sugar, too high in sugar, higher in sugars","","","Addictive, sweet tooth","","Taste buds, sensitivity to sweet tastes, taste, sensisitivty to sweet drinks","","","","","","","","","","","","","","","","","","","","Taste, sensitivity to soft drinks, sensitivity to the taste, taste perceptions","","","","","",""
"","","is there ambiguity?","","0.0","0.0","0.0","","","1.0","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","if yes describe","","-9.0","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Is the same DV being coded here as the abstract?","","","0.0","2.0","","","2.0","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Note differences here","","","-9.0","This is not the DV","","","Whether sugar was addictive or not was not tested in the research","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Actual DV for this","Taste perception","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","2.0","","","2.0","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Number of sentences the actual DV is mentioned","","-9.0","-9.0","6.0","","","4.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","20.0","","","70.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","Sensitivity to the drinks, taste perceptions, perceptions, sensitivity,","","","Taste perception, sensitivity to them and their sweet taste, less sweet, sensitivity to sweet","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Justification Offered for Generalisation?","","-9.0","-9.0","0.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","0.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","is the DV quantified ","","1.0","0.0","0.0","","","0.0","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Base Rate Mentioned","","0.0","0.0","0.0","","","0.0","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Second IV","Second IV of Conclusions (or quasi IV)","","Soft drink supplementation","Drinking two sugary drinks a day","Weight","","","Overweight","","Weight of participants","","","","","","","","","","","","","","","","","","","","Weight","","","","","",""
"","","How does this IV relate to the research article","","2.0","2.0","1.0","","","1.0","","1.0","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","IV Code","","4.0","4.0","25.0","","","25.0","","25.0","","","","","","","","","","","","","","","","","","","","25.0","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","3.0","9.0","","","4.0","","3.0","","","","","","","","","","","","","","","","","","","","4.0","","","","","",""
"","","Words to First Mention","","","57.0","20.0","","","106.0","","164.0","","","","","","","","","","","","","","","","","","","","37.0","","","","","",""
"","","What terms were included in the count?","","","Drinking two sugary drinks a day, sweet drinks, sugary drinks","Overweight, obese, lean","","","Obese, overweight","","Obese participants, lean participants","","","","","","","","","","","","","","","","","","","","Overweight people, weight, not overweight","","","","","",""
"","","is there ambiguity?","","","0.0","0.0","","","0.0","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","if yes describe","","","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Is the same IV being coded here as the abstract?"," ","","0.0","1.0","","","1.0","","1.0","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Note differences here","","","-9.0","This is the first IV","","","This is the first IV","","This is the first IV in the JA","","","","","","","","","","","","","","","","","","","","This is the first IV","","","","","",""
"","","Actual IV for this","Soft drink consumption (Lucozade Energy, GlaxoSmithKline plc, UK)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code ","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Justification Offered for Generalisation?","","-9.0","-9.0","-9.0","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
