"Press Release Title","
Faulty 'off-switch' stops children with ADHD from concentrating  
","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Task-related default mode network modulation and inhibitory control in ADHD: effects of
motivation and methylphenidate
","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","1.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","7.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","3.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","8.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","14-11-002","Available for Coding?","1.0","1.0","1.0","1.0","","","","","","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Date Published","","39032.0","39087.0","39087.0","","","","","","39087.0","39086.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Title","","15.0","8.0","11.0","","","","","","8.0","6.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Body","5000.0","300.0","880.0","450.0","","","","","","410.0","440.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sentence Count","","","36.0","21.0","","","","","","20.0","21.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it written by?","","","","4.0","","","","","","3.0","4.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","-9.0","","","","","","3.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","Title","IV(s) in title","","motivation and methylphenidate","off switch","ADHD","","","","","","ADHD","ADHD children","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV(s) in title","","default mode network","concentration","Faulty switch' which affects mind wandering ","","","","","","Daydreaming","Faulty switch","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it About?","","1.0","1.0","1.0","","","","","","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Are there quotes in the title?","","0.0","2.0","2.0","","","","","","2.0","2.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Statement of Cause","","0.0","6.0","0.0","","","","","","6.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","presence of ADHD ","presence of ADHD or no ADHD","presence of ADHD","","","","","","presence of ADHD","pr4esence of ADHD","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","","11.0","11.0","11.0","","","","","","11.0","11.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","1.0","","","","","","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","19.0","15.0","","","","","","11.0","14.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","0.0","0.0","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","","as above","as above","","","","","","as above","hyperactivity disorder","","","","","","","","","","","","","","","","","","","","","","","",""
"","","is there ambiguity?","","0.0","0.0","0.0","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","if yes describe","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","0.0","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note differences here","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Actual IV for this","right-handed children aged 9 to 15 years with a clinical diagnosis of ADHD and typically developing volunteers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","11.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
""," ","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","Main Conclusion DV","Main DV of Conclusions ","","Default mode network","concentration","concentration","","","","","","daydreaming","concentration","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Code of Main DV","","20.0","20.0","20.0","","","","","","20.0","20.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is this DV in the first 2 sentences?","","","1.0","1.0","","","","","","0.0","1.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Sentences the DV is mentioned on","","","5.0","2.0","","","","","","4.0","4.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","0.0","19.0","","","","","","2.0","19.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","","as above","as above","","","","","","as above","as above","","","","","","","","","","","","","","","","","","","","","","","",""
"","","is there ambiguity?","","0.0","0.0","0.0","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","if yes describe","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the same DV being coded here as the abstract?","","","0.0","0.0","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note differences here","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Actual DV for this","event related deactivation in the DMN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","1.0","0.0","","","","","","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of sentences the actual DV is mentioned","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Justification Offered for Generalisation?","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","is the DV quantified ","","0.0","0.0","0.0","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Base Rate Mentioned","","0.0","0.0","0.0","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","Second IV","Second IV of Conclusions (or quasi IV)","","motivational incentives","incentives","incentives","","","","","","incentives","incentives","","","","","","","","","","","","","","","","","","","","","","","",""
"","","How does this IV relate to the research article","","2.0","2.0","2.0","","","","","","2.0","2.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","","13.0","13.0","13.0","","","","","","13.0","13.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","7.0","5.0","","","","","","1.0","4.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","60.0","39.0","","","","","","303.0","39.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","","incentives","as above","","","","","","as above","as above","","","","","","","","","","","","","","","","","","","","","","","",""
"","","is there ambiguity?","","","0.0","0.0","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","if yes describe","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the same IV being coded here as the abstract?","","","","0.0","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note differences here","","","","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Actual IV for this","task related motivational incentives","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code ","13.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Justification Offered for Generalisation?","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
