"Press Release Title","Rising indoor winter temperatures linked to obesity?","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Could increased time spent in a thermal comfort zone
contribute to population increases in obesity?","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","2.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","7.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","19-11-002","Available for Coding?","1.0","1.0","1.0","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Date Published","","39105.0","39107.0","39107.0","","","","","","39107.0","","","","","","","","","","","","","","","","","","","","","","","","","39107.0"
"","","Word Count - Title","","15.0","7.0","17.0","","","","","","11.0","","","","","","","","","","","","","","","","","","","","","","","","","10.0"
"","","Word Count - Body","4000.0","180.0","500.0","380.0","","","","","","510.0","","","","","","","","","","","","","","","","","","","","","","","","","250.0"
"","","Sentence Count","","","17.0","17.0","","","","","","20.0","","","","","","","","","","","","","","","","","","","","","","","","","12.0"
"","","Who is it written by?","","","","4.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","4.0"
"","","","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Title","IV(s) in title","","Increased time spent in thermal comfort","Rising indoor winter temperatures","Central heating","","","","","","Turning down the thermostat","","","","","","","","","","","","","","","","","","","","","","","","","Central heating"
