"Press Release Title","Potential target for treating schizophrenia found ","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","DISC1-dependent switch from progenitor proliferation to
migration in the developing cortex","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","7.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","06-11-010","Available for Coding?","1.0","1.0","1.0","","","","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Date Published","","39177.0","39212.0","","","","39213.0","","","","","","39213.0","","","","","","","","","","","","","","","","","","","","","","39213.0"
"","","Word Count - Title","","11.0","6.0","","","","6.0","","","","","","7.0","","","","","","","","","","","","","","","","","","","","","","4.0"
"","","Word Count - Body","5000.0","150.0","460.0","","","","200.0","","","","","","450.0","","","","","","","","","","","","","","","","","","","","","","120.0"
"","","Sentence Count","","","16.0","","","","10.0","","","","","","17.0","","","","","","","","","","","","","","","","","","","","","","8.0"
"","","Who is it written by?","","","","","","","3.0","","","","","","3.0","","","","","","","","","","","","","","","","","","","","","","4.0"
"","","Journalist Code","","","","","","","3.0","","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Title","IV(s) in title","","-9.0","Target for treating schizophrenia","","","","Clue to mental illness","","","","","","Schizophrenia","","","","","","","","","","","","","","","","","","","","","","Treatment"
"","","DV(s) in title","","DISC1-dependent switch","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","Schizophrenia"
"","","Who is it About?","","-9.0","2.0","","","","2.0","","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","2.0"
"","","Are there quotes in the title?","","0.0","0.0","","","","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Statement of Cause","","0.0","0.0","","","","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Unphosphorylated / phosphorylated DISC1","DISC1","","","","Protein (DISC1)","","","","","","DISC1","","","","","","","","","","","","","","","","","","","","","","DISC1"
"","","IV Code","","20.0","20.0","","","","20.0","","","","","","20.0","","","","","","","","","","","","","","","","","","","","","","20.0"
"","","Is this IV in the first 2 sentences?","","","1.0","","","","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Number of Sentences the IV is mentioned on","","","6.0","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.0"
"","","Words to First Mention","","","1.0","","","","21.0","","","","","","11.0","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","What terms were included in the count?","","","Target, DISC1","","","","Protein, DISC1","","","","","","DISC1","","","","","","","","","","","","","","","","","","","","","","Potential target, a protein, DISC1"
"","","is there ambiguity?","","0.0","1.0","","","","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","if yes describe","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same IV being coded here as the abstract?","","","0.0","","","","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Note differences here","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual IV for this","Phorylation of DISC1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","1.0","","","","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
""," ","Words to First Mention","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Main Conclusion DV","Main DV of Conclusions ","","Role of DISC1 in corticogenesis","DISC1's effect on stages of development of the cortex","","","","Key stages in the development of the brain","","","","","","…DISC1's role in two key stages in the development of the cortex..","","","","","","","","","","","","","","","","","","","","","","Key stages in the development of schizophrenia"
"","","Code of Main DV","","22.0","22.0","","","","22.0","","","","","","22.0","","","","","","","","","","","","","","","","","","","","","","11.0"
"","","Is this DV in the first 2 sentences?","","","0.0","","","","1.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of Sentences the DV is mentioned on","","","2.0","","","","2.0","","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","4.0"
"","","Words to First Mention","","","226.0","","","","21.0","","","","","","274.0","","","","","","","","","","","","","","","","","","","","","","47.0"
"","","What terms were included in the count?","","","Key stages in the development of the cortex, one stage involves…","","","","Key stages in the development of the brain, key stages in the development of the cortex","","","","","","Two key stages in the development of the cortex, one of these stages","","","","","","","","","","","","","","","","","","","","","","Development of the brain cortex, defects in the cortex, the devleopment of the cortex, 'switch'"
"","","is there ambiguity?","","0.0","0.0","","","","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","if yes describe","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same DV being coded here as the abstract?","","","0.0","","","","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Note differences here","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual DV for this","DISC1's role in two key stages of cortical development","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","22.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","","","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of sentences the actual DV is mentioned","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation?","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","is the DV quantified ","","0.0","0.0","","","","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Base Rate Mentioned","","0.0","0.0","","","","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Second IV","Second IV of Conclusions (or quasi IV)","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","How does this IV relate to the research article","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","IV Code","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of Sentences the IV is mentioned on","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","is there ambiguity?","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","if yes describe","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same IV being coded here as the abstract?","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Note differences here","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual IV for this","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code ","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation?","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Second DV","Second DV of Conclusions","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","How does this DV relate to the research article","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Code of DV","","-9.0","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of Sentences the DV is mentioned on","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","","-9.0","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
