"Press Release Title","Research revelation could shape future long-term treatment of asthma ","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Effect of Bronchoconstriction on Airway
Remodeling in Asthma","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","7.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","18-11-006","Available for Coding?","1.0","1.0","1.0","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Date Published","","39227.0","39226.0","","","","","","","","39227.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Title","","8.0","9.0","","","","","","","","7.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Body","4000.0","320.0","400.0","","","","","","","","170.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sentence Count","","","16.0","","","","","","","","6.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it written by?","","","","","","","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","Title","IV(s) in title","","Bronchoconstriction","Asthma","","","","","","","","Asthma drugs","","","","","","","","","","","","","","","","","","","","","","","",""
