"Press Release Title","Scientists bring cancer cells back under control","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Epigenetic reprogramming of breast cancer cells
with oocyte extracts","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","3.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","14-11-004","Available for Coding?","1.0","1.0","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Date Published","","39094.0","39094.0","","","","","","","39094.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Title","","9.0","7.0","","","","","","","7.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Body","6000.0","280.0","570.0","","","","","","","310.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sentence Count","","","25.0","","","","","","","14.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it written by?","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Title","IV(s) in title","","Epigenetic reprogramming of cancer cells","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV(s) in title","","-9.0","Control of cancer cells","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it About?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Statement of Cause","","0.0","0.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Epigenetic reprogramming","Cancer suppressor genes","","","","","","","Cancer suppressor genes","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","","19.0","19.0","","","","","","","19.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
