"Press Release Title","Less salt, less strokes says new research from Warwick","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Policy options to reduce population salt intake","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","4.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","2.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","8.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","7.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","BBC News","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","20-11-011","Available for Coding?","1.0","1.0","1.0","","1.0","1.0","","","","1.0","","","","","","","","","","","","","","","","","","","1.0","","","","","","","1.0"
"","","Date Published","","39304.0","39305.0","","39305.0","39305.0","","","","39305.0","","","","","","","","","","","","","","","","","","","39305.0","","","","","","","39305.0"
"","","Word Count - Title","","7.0","9.0","","7.0","15.0","","","","3.0","","","","","","","","","","","","","","","","","","","6.0","","","","","","","23.0"
"","","Word Count - Body","2000.0","50.0","390.0","","110.0","260.0","","","","110.0","","","","","","","","","","","","","","","","","","","550.0","","","","","","","80.0"
"","","Sentence Count","","","17.0","","6.0","13.0","","","","6.0","","","","","","","","","","","","","","","","","","","26.0","","","","","","","5.0"
"","","Who is it written by?","","","","","4.0","3.0","","","","4.0","","","","","","","","","","","","","","","","","","","1.0","","","","","","","4.0"
"","","","","","","","-9.0","2.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","","","-9.0"
"","Title","IV(s) in title","","Salt intake","Salt","","Salt","Salt","","","","Salt","","","","","","","","","","","","","","","","","","","Salt","","","","","","","-9.0"
"","","DV(s) in title","","-9.0","Strokes","","Life","Lives","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","","","-9.0"
"","","Who is it About?","","2.0","-9.0","","2.0","2.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","","","-9.0"
"","","Are there quotes in the title?","","0.0","0.0","","1.0","0.0","","","","1.0","","","","","","","","","","","","","","","","","","","1.0","","","","","","","0.0"
"","","Statement of Cause","","0.0","2.0","","0.0","4.0","","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","","","","0.0"
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Dietary salt","Salt intake","","Salt consumption","Salt intake","","","","Salt consumption","","","","","","","","","","","","","","","","","","","Salt intake","","","","","","","Salt intake"
"","","IV Code","","4.0","4.0","","4.0","4.0","","","","4.0","","","","","","","","","","","","","","","","","","","4.0","","","","","","","4.0"
"","","Is this IV in the first 2 sentences?","","","1.0","","1.0","1.0","","","","1.0","","","","","","","","","","","","","","","","","","","1.0","","","","","","","1.0"
"","","Number of Sentences the IV is mentioned on","","","11.0","","5.0","10.0","","","","5.0","","","","","","","","","","","","","","","","","","","14.0","","","","","","","2.0"
"","","Words to First Mention","","","0.0","","0.0","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","","","","1.0"
"","","What terms were included in the count?","","","..salt.. ..a similar reduction.. ..it.. ..daily intake..","","..salt.. ..reduction..","..salt.. ..salt intake.. ..half a teaspoon less.. ..salt.. ..three-gram cut..","","","","..salt.. ..intake.","","","","","","","","","","","","","","","","","","","..salt..","","","","","","","..salt intake.. ..intake.."
