"Press Release Title","Diet reverses Type 2 Diabetes","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Reversal of type 2 diabetes: normalisation of beta cell function in association with decreased pancreas and liver triacylglycerol
","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","2.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Techniques","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","5.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","13-11-010","Available for Coding?","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Date Published","","39241.0","39256.0","39256.0","39257.0","39256.0","39256.0","39256.0","39256.0","39256.0","39256.0","","","","","","","","","","","","","","","","","","","","","","","","","39256.0"
"","","Word Count - Title","","18.0","5.0","7.0","4.0","14.0","4.0","4.0","18.0","14.0","7.0","","","","","","","","","","","","","","","","","","","","","","","","","5.0"
"","","Word Count - Body","4000.0","260.0","940.0","580.0","130.0","340.0","750.0","90.0","950.0","550.0","340.0","","","","","","","","","","","","","","","","","","","","","","","","","190.0"
"","","Sentence Count","","","41.0","29.0","9.0","20.0","37.0","5.0","43.0","26.0","14.0","","","","","","","","","","","","","","","","","","","","","","","","","10.0"
"","","Who is it written by?","","","","1.0","4.0","3.0","2.0","4.0","2.0","3.0","3.0","","","","","","","","","","","","","","","","","","","","","","","","","3.0"
"","","journalistic code","","","","-9.0","-9.0","3.0","-9.0","-9.0","-9.0","2.0","3.0","","","","","","","","","","","","","","","","","","","","","","","","","3.0"
"","Title","IV(s) in title","","0.0","diet","diet","ditching calories","diet","cure","0.0","Low-calorie diet ","crash diet","Low-calorie diet ","","","","","","","","","","","","","","","","","","","","","","","","","strict diet"
"","","DV(s) in title","","type 2 diabetes","type 2 diabetes","diabetes","diabetes","diebetes","diabetes","0.0","type 2 diabetes","type 2 diabetes","diabetes","","","","","","","","","","","","","","","","","","","","","","","","","diabetes"
"","","Who is it About?","","2.0","2.0","2.0","2.0","1.0","2.0","1.0","2.0","1.0","2.0","","","","","","","","","","","","","","","","","","","","","","","","","2.0"
"","","Are there quotes in the title?","","0.0","0.0","0.0","2.0","1.0","0.0","0.0","1.0","1.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
