"Press Release Title","New study is first to identify a ""happiness gene","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Functional polymorphism (5-HTTLPR) in the serotonin transporter gene is associated with subjective well-being: evidence from a US nationally representative sample
","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","7.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","5.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","11-11-001","Available for Coding?","1.0","1.0","1.0","","1.0","","1.0","","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Date Published","","39213.0","39207.0","","39207.0","","39207.0","","39207.0","39207.0","39207.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Title","","20.0","9.0","","7.0","","4.0","","12.0","3.0","8.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Body","3000.0","100.0","610.0","","140.0","","60.0","","700.0","80.0","330.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sentence Count","","","21.0","","9.0","","3.0","","29.0","4.0","19.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it written by?","","","","","4.0","","4.0","","3.0","4.0","2.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","-9.0","","-9.0","","1.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Title","IV(s) in title","","Functional polymorphism (5-HTTLPR) in the serotonin transporter gene","gene","","genes","","0.0","","gene","gene","genetic secret","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV(s) in title","","subjective well-being","happiness","","satisfied with life","","happiness","","happiness","happiness","happy life","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it About?","","1.0","2.0","","1.0","","-9.0","","2.0","2.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Are there quotes in the title?","","0.0","2.0","","0.0","","0.0","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Statement of Cause","","2.0","0.0","","6.0","","0.0","","3.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
