"Press Release Title","Care home errors linked to medicine delivery method","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","The influence of formulation and
medicine delivery system on
medication administration errors in
care homes for older people","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","3.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","4.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","5.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","09-11-001","Available for Coding?","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Date Published","","39119.0","39120.0","","","","","","","","","","","","","","","","","","","","","","","","","","39120.0","","","","","",""
"","","Word Count - Title","","18.0","8.0","","","","","","","","","","","","","","","","","","","","","","","","","","9.0","","","","","",""
"","","Word Count - Body","2000.0","280.0","410.0","","","","","","","","","","","","","","","","","","","","","","","","","","600.0","","","","","",""
"","","Sentence Count","","","19.0","","","","","","","","","","","","","","","","","","","","","","","","","","29.0","","","","","",""
"","","Who is it written by?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Title","IV(s) in title","","formulation and medcine delivery system","Medicine delivery method","","","","","","","","","","","","","","","","","","","","","","","","","","Inhaler use","","","","","",""
"","","DV(s) in title","","Medication administration errors","Care home errors","","","","","","","","","","","","","","","","","","","","","","","","","","Mistakes in drug doses","","","","","",""
"","","Who is it About?","","1.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Statement of Cause","","6.0","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","2.0","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Inhalers and liquid medicines","Medicine delivery method (inhalers)","","","","","","","","","","","","","","","","","","","","","","","","","","Medicine delivery method 'inhalers rather than tablets, capsules or liquid medicines'","","","","","",""
"","","IV Code","","9.0","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","12.0","","","","","","","","","","","","","","","","","","","","","","","","","","21.0","","","","","",""
"","","Words to First Mention","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","What terms were included in the count?","","","Medicine deliver method, inhaler(s), inhaled powder, inhaler-based medicine, liquid medicine(s)","","","","","","","","","","","","","","","","","","","","","","","","","","medication(s), drug(s), tablet(s), inhaler(s), medicine(s)","","","","","",""
"","","is there ambiguity?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","if yes describe","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Note differences here","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Actual IV for this","medicine delivery system
and formulation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
""," ","Words to First Mention","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Caveats Mentioned?","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Main Conclusion DV","Main DV of Conclusions ","","Administration errors","Dosing mistakes/ errors","","","","","","","","","","","","","","","","","","","","","","","","","","Mistakes in drug doses","","","","","",""
"","","Code of Main DV","","24.0","24.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is this DV in the first 2 sentences?","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Number of Sentences the DV is mentioned on","","","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","7.0","","","","","",""
"","","Words to First Mention","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","What terms were included in the count?","","","Error(s), dosing mistake(s), mistake(s)","","","","","","","","","","","","","","","","","","","","","","","","","","Mistake(s), wrong","","","","","",""
"","","is there ambiguity?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","if yes describe","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
