"Press Release Title","Human hairs help stop the bed bugs biting","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Human fine body hair enhances ectoparasite detection","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","-9.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","7.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","17-11-012","Available for Coding?","1.0","1.0","1.0","1.0","","1.0","","1.0","","1.0","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Date Published","","39429.0","39429.0","39429.0","","39429.0","","39429.0","","39429.0","","","","","","","","","","","","","","","","","","","","39429.0","","","","","",""
"","","Word Count - Title","","7.0","8.0","10.0","","7.0","","9.0","","8.0","","","","","","","","","","","","","","","","","","","","7.0","","","","","",""
"","","Word Count - Body","2000.0","90.0","440.0","170.0","","100.0","","100.0","","140.0","","","","","","","","","","","","","","","","","","","","500.0","","","","","",""
"","","Sentence Count","","","18.0","8.0","","7.0","","6.0","","7.0","","","","","","","","","","","","","","","","","","","","21.0","","","","","",""
"","","Who is it written by?","","","","4.0","","4.0","","4.0","","4.0","","","","","","","","","","","","","","","","","","","","4.0","","","","","",""
"","","","","","","-9.0","","-9.0","","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Title","IV(s) in title","","Human fine body hair","Human hairs","Hairy body","","Body hair","","Hairy arms","","Body hair","","","","","","","","","","","","","","","","","","","","Hairy limbs","","","","","",""
"","","DV(s) in title","","Ectoparasite detection","The bed bugs biting","The bed bugs bite","","Bed bugs bite","","Bedbug bites","","Biting insects","","","","","","","","","","","","","","","","","","","","Bed bugs","","","","","",""
"","","Who is it About?","","1.0","1.0","2.0","","2.0","","2.0","","2.0","","","","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","0.0","","0.0","","0.0","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
