"Press Release Title","Modified Ecstasy holds promise as potent blood cancer treatment ","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Enhancing the anti-lymphoma potential of 3,4-methylenedioxymethamphetamine (‘ecstasy’)through iterative chemical redesign: mechanisms and pathways to cell death
","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","5.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","01-11-015","Available for Coding?","1.0","1.0","1.0","1.0","","1.0","1.0","","","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","1.0","","","","","","1.0"
"","","Date Published","","39311.0","39312.0","39312.0","","39312.0","39312.0","","","39312.0","39312.0","39312.0","","","","","","","","","","","","","","","","","","39312.0","","","","","","39312.0"
"","","Word Count - Title","","18.0","9.0","9.0","","11.0","8.0","","","8.0","8.0","3.0","","","","","","","","","","","","","","","","","","5.0","","","","","","5.0"
"","","Word Count - Body","4000.0","250.0","500.0","210.0","","60.0","360.0","","","70.0","180.0","30.0","","","","","","","","","","","","","","","","","","490.0","","","","","","290.0"
"","","Sentence Count","","","19.0","12.0","","12.0","18.0","","","4.0","11.0","3.0","","","","","","","","","","","","","","","","","","27.0","","","","","","12.0"
"","","Who is it written by?","","","","4.0","","3.0","2.0","","","4.0","3.0","4.0","","","","","","","","","","","","","","","","","","2.0","","","","","","3.0"
"","","Journalist code","","","","-9.0","","2.0","-9.0","","","-9.0","2.0","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","","","","3.0"
"","Title","IV(s) in title","","ecstasy redesign","modified ecstasy","ecstasy","","E","ecstasy","","","ecstasy","form of ecstasy","E","","","","","","","","","","","","","","","","","","modified ecstasy","","","","","","ecstasy"
"","","DV(s) in title","","anti-lymphoma potential","blood cancer treatment","cancers of the blood","","big C","cancer","","","cancer","cancer","cancer","","","","","","","","","","","","","","","","","","blood cancers","","","","","","leukaemia"
"","","Who is it About?","","-9.0","2.0","2.0","","2.0","2.0","","","1.0","2.0","2.0","","","","","","","","","","","","","","","","","","2.0","","","","","","2.0"
"","","Are there quotes in the title?","","2.0","0.0","1.0","","0.0","0.0","","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","1.0","","","","","","1.0"
