"Press Release Title","Stem cell treatment to prevent leukaemia returning is a step closer","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Functional Crosstalk between Bmi1 and MLL/Hoxa9 Axis in Establishment of Normal Hematopoietic and Leukemic Stem Cells
","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","8.0","health","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","5.0","oncology/cancer","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","3.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","5.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","08-11-021","Available for Coding?","1.0","1.0","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Date Published","","39234.0","39234.0","","","","","","","39235.0","","","","","","","","","","","","","","","","","","","","39235.0","","","","","",""
"","","Word Count - Title","","16.0","11.0","","","","","","","7.0","","","","","","","","","","","","","","","","","","","","7.0","","","","","",""
"","","Word Count - Body","9000.0","150.0","650.0","","","","","","","420.0","","","","","","","","","","","","","","","","","","","","580.0","","","","","",""
"","","Sentence Count","","","25.0","","","","","","","16.0","","","","","","","","","","","","","","","","","","","","24.0","","","","","",""
"","","Who is it written by?","","","","","","","","","","2.0","","","","","","","","","","","","","","","","","","","","4.0","","","","","",""
"","","","","","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Title","IV(s) in title","","Functional Crosstalk between Bmi1 and MLL/Hoxa9 Axis","stem cell treatment","","","","","","","leukaemia discovery","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","DV(s) in title","","Establishment of Normal Hematopoietic and Leukemic Stem Cells","leukaemia returning","","","","","","","remission","","","","","","","","","","","","","","","","","","","","return of leukaemia","","","","","",""
"","","Who is it About?","","-9.0","2.0","","","","","","","2.0","","","","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Statement of Cause","","0.0","0.0","","","","","","","4.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","interplay between MLL/Hox and Bmi1","Bmi1 and Hoxa9 proteins ","","","","","","","Bmi1 and Hoxa9","","","","","","","","","","","","","","","","","","","","Bmi1 and Hoxa9","","","","","",""
